"","Strain","isolate","plate","well","label_exp","model","param_1","param_2","param_3","param_4","th_gr","em_gr","loss","tot_plate.x","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","tot_plate.y","Strain_nice","ID"
"7333","448","8","5","F6","Richards_isolate_8_plate_10","NL_Richards","0.2006714703541566","1.788088597052511","0.4665111213882052","31.040104952134744","0.26089074705489873","0.3499494383925946","0.019665699778656377","5F6",0,0,0,0,0,0,0,0,0,"5F6","C. gallinarum","5F6C. gallinarum"
"7334","448","8","5","G3","Richards_isolate_8_plate_15","NL_Richards","0.7807073524887171","4.775440403138052","0.11908552163678214","236.96483218003308","0.024937076286933233","0.16041358417252338","0.015238789488433678","5G3",1,1,0,1,1,1,1,1,7,"5G3","C. gallinarum","5G3C. gallinarum"
"7335","448","8","2","E10","Richards_isolate_8_plate_17","NL_Richards","0.2171628127235926","2.771887317346651","0.6486375715215781","45.10560833989439","0.23400572869429234","0.35847167322926404","0.031744549181192905","2E10",1,0,1,0,1,1,0,0,4,"2E10","C. gallinarum","2E10C. gallinarum"
"7336","448","8","1","E8","Richards_isolate_8_plate_1","NL_Richards","0.19471601817225107","0.8590156334034466","0.3303196848745117","37.34062342717281","0.37300362534813486","0.3753662180491008","0.00255427536345689","1E8",1,1,0,0,0,1,0,0,3,"1E8","C. gallinarum","1E8C. gallinarum"
"7337","448","8","2","F4","Richards_isolate_8_plate_7","NL_Richards","0.20447435001590392","3.2320948062721846","0.5153704835040583","32.81447848429495","0.15945398825748958","0.32085111034458946","0.04434311290329592","2F4",0,0,1,0,1,1,0,0,3,"2F4","C. gallinarum","2F4C. gallinarum"
"7339","448","8","1","B10","Richards_isolate_8_plate_1","NL_Richards","0.21239470288890627","5.009664421503493","0.41601717173100194","39.350695287928176","0.08304291371257766","0.23277020052452171","0.04503035619491158","1B10",1,0,0,1,0,1,0,0,3,"1B10","C. gallinarum","1B10C. gallinarum"
"7343","448","8","4","E6","Richards_isolate_8_plate_19","NL_Richards","0.24063313017597662","4.684846218978124","0.07701721343711272","299.9289999636179","0.016439646006527118","0.23214621285825143","0.03588679675134318","4E6",0,1,0,1,1,1,1,0,5,"4E6","C. gallinarum","4E6C. gallinarum"
"7344","448","8","5","B2","Richards_isolate_8_plate_5","NL_Richards","0.1861629493891278","0.9597075696153359","0.3308795647856064","30.82493998662315","0.3390460235217313","0.3630909004654355","0.004315413215467217","5B2",0,1,1,1,1,1,0,1,6,"5B2","C. gallinarum","5B2C. gallinarum"
"7345","448","8","2","C3","Richards_isolate_8_plate_17","NL_Richards","0.1427638787631897","2.423384049130383","0.2856069079235742","53.74501101069931","0.11785451553695168","0.2533335772852709","0.04892883330754462","2C3",0,1,0,0,1,0,1,0,3,"2C3","C. gallinarum","2C3C. gallinarum"
"7346","448","8","4","D9","Richards_isolate_8_plate_9","NL_Richards","2.048779327460826","3.657739585022723","0.3849040317819185","118.92893252094724","0.10523002604059627","0.17272422728237902","0.015995358716428612","4D9",1,1,1,0,1,1,1,0,6,"4D9","C. gallinarum","4D9C. gallinarum"
"7347","448","8","5","F9","Richards_isolate_8_plate_5","NL_Richards","0.19589793473352612","0.845647480997292","0.3286684102849056","29.833733910407513","0.3783683237565335","0.4221961255420925","0.0041452556315439764","5F9",0,0,0,0,0,0,0,0,0,"5F9","C. gallinarum","5F9C. gallinarum"
"7350","448","8","3","D8","Richards_isolate_8_plate_8","NL_Richards","0.22199550832780565","3.305302389024282","0.6237938853124582","32.14286180798618","0.18872520210975507","0.352438212075276","0.03997054355424131","3D8",0,0,0,1,1,1,0,1,4,"3D8","C. gallinarum","3D8C. gallinarum"
"7352","448","8","2","F5","Richards_isolate_8_plate_17","NL_Richards","0.20396813135623548","2.0893223823893883","0.4455889446521897","32.68359260963496","0.21326872209961895","0.3248579114180829","0.038720817275849556","2F5",0,0,0,1,1,1,0,0,3,"2F5","C. gallinarum","2F5C. gallinarum"
"7356","448","8","4","F6","Richards_isolate_8_plate_4","NL_Richards","0.2122013334564849","2.261383434323945","0.4883305454777339","32.394029399414784","0.21594296019842896","0.3466075545110945","0.041647890262306135","4F6",0,1,0,1,1,1,0,1,5,"4F6","C. gallinarum","4F6C. gallinarum"
"7357","448","8","2","C8","Richards_isolate_8_plate_12","NL_Richards","0.22692037557586314","0.5289044284952858","0.26319189754896244","29.129853155546016","0.43665824933835035","0.4349540348615175","0.0014715082641637756","2C8",1,1,0,1,1,0,0,0,4,"2C8","C. gallinarum","2C8C. gallinarum"
"7361","448","8","1","D9","Richards_isolate_8_plate_16","NL_Richards","0.2258170201303916","2.1800156288134214","0.6199819776134096","31.289448900292808","0.28438955360994245","0.39729884866195525","0.014544807746014993","1D9",1,0,1,0,0,1,0,0,3,"1D9","C. gallinarum","1D9C. gallinarum"
"7362","448","8","2","B4","Richards_isolate_8_plate_12","NL_Richards","0.1988275911758331","3.0941310599890532","0.45907939410661375","33.96261068773726","0.14837095953950513","0.29235202618321776","0.03588664900952167","2B4",0,0,1,1,1,0,0,0,3,"2B4","C. gallinarum","2B4C. gallinarum"
"7363","448","8","5","B5","Richards_isolate_8_plate_10","NL_Richards","0.19419431637929052","3.8164758343156238","0.47915444606014534","34.26895310142355","0.12554890564324167","0.2775646964428286","0.031754836472344956","5B5",0,0,0,0,0,0,0,0,0,"5B5","C. gallinarum","5B5C. gallinarum"
"7364","448","8","3","G3","Richards_isolate_8_plate_8","NL_Richards","0.152665278674335","5.0095454137054345","0.6076027301108402","33.329036497656446","0.12128899463254236","0.28925766640404","0.043400563777765966","3G3",0,1,1,0,1,1,0,0,4,"3G3","C. gallinarum","3G3C. gallinarum"
"7365","448","8","4","E4","Richards_isolate_8_plate_9","NL_Richards","0.552132212745818","4.085999651534125","0.08981131255543152","249.50139120224532","0.021980254578647513","0.08636211364119034","0.029644284402675313","4E4",1,0,0,1,0,1,1,1,5,"4E4","C. gallinarum","4E4C. gallinarum"
