"","well","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","combined_data$Strain_nice"
"252","252_G11_P. baetica 1_",1,1,0,0,1,1,0,1,"P. baetica 1"
"253","253_C5_P. baetica 1_",0,1,1,1,1,0,0,1,"P. baetica 1"
"254","254_G6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"255","255_G10_P. baetica 1_",1,1,0,1,1,0,1,0,"P. baetica 1"
"256","256_B10_P. baetica 1_",1,1,0,1,1,1,1,0,"P. baetica 1"
"257","257_G3_P. baetica 1_",1,1,0,1,1,1,1,1,"P. baetica 1"
"258","258_D10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"259","259_D10_P. baetica 1_",1,0,0,1,0,0,0,1,"P. baetica 1"
"260","260_E8_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"261","261_B8_P. baetica 1_",0,0,1,0,1,1,1,1,"P. baetica 1"
"262","262_E4_P. baetica 1_",0,1,1,0,0,1,0,1,"P. baetica 1"
"263","263_F2_P. baetica 1_",1,0,0,0,1,1,0,1,"P. baetica 1"
"264","264_F6_P. baetica 1_",0,0,1,1,1,0,1,0,"P. baetica 1"
"265","265_E4_P. baetica 1_",0,1,1,0,0,0,0,0,"P. baetica 1"
"266","266_D9_P. baetica 1_",1,1,0,0,0,1,1,0,"P. baetica 1"
"267","267_E7_P. baetica 1_",0,0,0,0,0,1,1,0,"P. baetica 1"
"268","268_F4_P. baetica 1_",0,0,1,0,1,1,0,0,"P. baetica 1"
"269","269_G11_P. baetica 1_",0,1,1,0,0,1,0,0,"P. baetica 1"
"270","270_E7_P. baetica 1_",1,1,1,0,1,0,0,0,"P. baetica 1"
"271","271_E11_P. baetica 1_",1,1,0,1,0,0,1,1,"P. baetica 1"
"272","272_C5_P. baetica 1_",0,1,0,0,0,0,1,0,"P. baetica 1"
"273","273_G6_P. baetica 1_",0,0,1,1,1,0,0,1,"P. baetica 1"
"274","274_G7_P. baetica 1_",0,0,1,1,0,1,1,1,"P. baetica 1"
"275","275_E8_P. baetica 1_",1,1,1,1,1,0,1,0,"P. baetica 1"
"276","276_B2_P. baetica 1_",0,1,1,1,1,1,0,1,"P. baetica 1"
"277","277_G6_P. baetica 1_",0,0,1,1,1,0,0,1,"P. baetica 1"
"278","278_D3_P. baetica 1_",0,1,0,0,1,0,0,1,"P. baetica 1"
"279","279_D5_P. baetica 1_",0,1,0,0,0,0,0,1,"P. baetica 1"
"280","280_G3_P. baetica 1_",1,1,0,1,1,1,1,1,"P. baetica 1"
"281","281_B10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"282","282_F2_P. baetica 1_",1,0,0,0,1,1,0,1,"P. baetica 1"
"283","283_F9_P. baetica 1_",1,1,1,0,1,1,0,0,"P. baetica 1"
"284","284_G5_P. baetica 1_",0,1,1,0,1,1,1,0,"P. baetica 1"
"285","285_G5_P. baetica 1_",0,1,1,0,1,1,1,0,"P. baetica 1"
"286","286_E6_P. baetica 1_",0,0,1,1,1,1,0,0,"P. baetica 1"
"287","287_G4_P. baetica 1_",0,1,0,1,1,1,0,0,"P. baetica 1"
"288","288_D3_P. baetica 1_",1,0,1,0,1,1,1,0,"P. baetica 1"
"289","289_G6_P. baetica 1_",0,0,0,0,1,1,0,1,"P. baetica 1"
"290","290_D3_P. baetica 1_",1,0,1,0,1,1,1,0,"P. baetica 1"
"291","291_E7_P. baetica 1_",0,0,1,0,1,1,1,0,"P. baetica 1"
"292","292_F8_P. baetica 1_",1,1,1,1,1,0,0,1,"P. baetica 1"
"293","293_F5_P. baetica 1_",0,0,1,0,1,0,0,0,"P. baetica 1"
"294","294_F8_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"295","295_E6_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"296","296_E2_P. baetica 1_",1,0,0,0,1,1,1,0,"P. baetica 1"
"297","297_E10_P. baetica 1_",1,0,1,0,1,1,0,0,"P. baetica 1"
"298","298_D10_P. baetica 1_",1,0,1,1,0,0,0,1,"P. baetica 1"
"299","299_F7_P. baetica 1_",0,0,0,0,0,1,0,1,"P. baetica 1"
"300","300_F4_P. baetica 1_",0,0,1,0,1,1,0,0,"P. baetica 1"
"301","301_E7_P. baetica 1_",1,1,1,0,1,0,0,0,"P. baetica 1"
"302","302_E4_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"303","303_F5_P. baetica 1_",0,1,0,1,0,0,1,1,"P. baetica 1"
"304","304_C8_P. baetica 1_",0,0,0,1,1,1,1,0,"P. baetica 1"
"305","305_D4_P. baetica 1_",1,0,0,0,0,0,0,1,"P. baetica 1"
"306","306_F6_P. baetica 1_",0,1,0,1,1,1,0,1,"P. baetica 1"
"307","307_E8_P. baetica 1_",1,1,0,0,0,1,0,0,"P. baetica 1"
"308","308_E9_P. baetica 1_",1,1,1,1,0,0,0,1,"P. baetica 1"
"309","309_B10_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"310","310_B4_P. baetica 1_",1,0,0,1,1,1,1,0,"P. baetica 1"
"311","311_F4_P. baetica 1_",0,1,0,1,0,0,0,0,"P. baetica 1"
"312","312_B8_P. baetica 1_",1,1,1,0,0,0,0,1,"P. baetica 1"
"313","313_E9_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"314","314_D6_P. baetica 1_",0,0,0,1,1,0,0,0,"P. baetica 1"
"315","315_F8_P. baetica 1_",1,1,1,1,1,0,0,1,"P. baetica 1"
"316","316_B7_P. baetica 1_",0,1,0,1,0,1,1,1,"P. baetica 1"
